feature,mean_abs_shap
prior_hospitalizations,0.1856647039244497
length_of_stay,0.13992125343425488
prior_180d_hospitalizations,0.13794555979438508
primcause,0.08531586851483504
prior_hd_ktv_measurements,0.07743198604359142
hospitalization_type,0.05743642167852195
gap_from_previous_discharge_days,0.05012149617747578
prior_treatment_records,0.04191143984411222
age_range,0.04097130242786056
primdiag,0.03568771291056567
days_since_last_treatment,0.02732440177618826
state,0.026776242305714678
hd_ktv_recent_vs_history_delta,0.025368001080671318
recent_3m_hd_ktv_mean,0.02531621095839571
gender,0.024019869114551236
recent_hd_ktv,0.02141735563406392
recent_6m_hd_ktv_range,0.014886740968457742
ethnicity,0.013507264412191784
prior_30d_hospitalizations,0.012239269450901084
hospital_admit_diag,0.011571236098598024
mean_prior_hd_ktv,0.010698351355177754
race,0.01044059714993777
hospitalization_modality,0.005965102248013525
prior_hemodialysis_flag,0.005741116463677595
recent_30d_treatment_records,0.004374687205379931
recent_90d_treatment_records,0.0037303999670855654
prior_center_hemo_flag,0.0037135843691684
hospital_discharge_diag,0.0
