subgroup,n,AUC,F1
gender=Unknown,2466,0.6947117740886287,0.39072847682119205
race=Unknown,2509,0.6943682833481092,0.388477366255144
age_range=18 - 44,7079,0.6745346677011338,0.41618015012510423
age_range=Unknown,3324,0.6702379710067966,0.36632390745501286
age_range=45 - 54,10021,0.6674705247942991,0.396452790818988
race=Asian,2289,0.6664975582144557,0.30985915492957744
race=Black or African American,25597,0.6588716372089641,0.3724247226624406
race=American Indian/Alaska Native,741,0.6581420681967878,0.3425076452599388
age_range=Under 18,225,0.6540455262564797,0.38961038961038963
gender=Female,35433,0.6474233928817292,0.36280601136423984
hospitalization_modality=HD,71921,0.6474214196624973,0.35282619319107345
age_range=55 - 64,17637,0.6457827985485914,0.35476487723678735
gender=Male,39567,0.6397221075455841,0.3343891880477246
race=Native,755,0.6385650793650794,0.30604982206405695
race=White,45422,0.6329310260724402,0.33593366914813
age_range=65 - 74,19984,0.6311856547630277,0.3343900194293895
age_range=85+,5506,0.6235783683383341,0.25600961538461536
age_range=75 - 84,13690,0.6136820636694423,0.2868230728523549
hospitalization_modality=PD,5545,0.6119804245493657,0.29902189101071264
"race=Black or African American,White",86,0.5230046948356807,0.2857142857142857
